"","State","Date.Local","no2","no2_aqi","o3","o3_aqi","so2","co","so2_aqi","co_aqi"
"63","Alaska","2015-04-10",8.181818,26,0.027125,31,5.6104165,0.2889585,16,5
"64","Alaska","2015-04-11",2.266667,6,0.027375,28,4.5333335,0.2185415,7,2
"65","Alaska","2015-04-12",2.066667,5,0.024042,28,5.119876,0.261721,10,3
"66","Alaska","2015-04-13",6.468182,17,0.020875,28,6.2833335,0.311458,13,5
"67","Alaska","2015-04-14",7.504167,19,0.026458,31,6.19375,0.2929165,17,3
"68","Alaska","2015-04-15",5.983333,24,0.024,31,5.6015525,0.315634,23,5
"69","Alaska","2015-04-16",12.627273,22,0.018958,30,7.55,0.369127,19,5
"70","Alaska","2015-04-17",6.408333,22,0.028292,31,5.7604165,0.2479165,14,5
"71","Alaska","2015-04-18",0.558333,2,0.035667,34,4.265528,0.1919565,7,2
"72","Alaska","2015-04-19",0.840909,3,0.037042,36,4.5125,0.1964585,7,2
"73","Alaska","2015-04-20",3.833333,25,0.028333,34,5.075,0.215,10,3
"74","Alaska","2015-04-21",1.708333,10,0.0275,31,4.608385,0.2052175,9,2
"75","Alaska","2015-04-22",8.63,16,0.022333,33,6.3708335,0.265,14,3
"76","Alaska","2015-04-23",4.916667,13,0.027708,32,5.4979165,0.2522915,14,3
"77","Alaska","2015-04-24",6.675,23,0.026667,35,5.5934785,0.265127,14,3
"78","Alaska","2015-04-25",15.9,14,0.027917,37,6.36875,0.270208,13,5
"79","Alaska","2015-04-27",2.007143,6,0.024625,30,6.31118,0.2696015,14,3
"80","Alaska","2015-04-28",3.75625,8,0.026417,31,5.475,0.2621795,10,3
"81","Alaska","2015-04-29",4.633333,17,0.024417,30,6.61875,0.182143,20,2
"82","Alaska","2015-04-30",3.077273,7,0.025875,30,6.0520835,0.1979165,11,2
"83","Alaska","2015-05-01",5.513636,15,0.022208,29,6.463354,0.226975,11,3
"84","Alaska","2015-05-02",4.879167,15,0.022917,31,6.2333335,0.2164585,10,3
"85","Alaska","2015-05-03",4.929167,13,0.028,33,6.630124,0.220326,14,3
"86","Alaska","2015-05-04",6.272222,19,0.0286,36,5.9625,0.21,13,3
"87","Alaska","2015-05-05",6.429167,18,0.027235,37,6.3208335,0.2159055,11,3
"88","Alaska","2015-05-06",4.195833,15,0.031833,38,6.3596275,0.220163,11,3
"89","Alaska","2015-05-07",6.263636,19,0.028292,36,6.64375,0.237292,14,3
"90","Alaska","2015-05-08",8.929167,25,0.026292,35,6.93125,0.2741665,13,3
"91","Alaska","2015-05-09",3.7125,8,0.024583,27,6.9223605,0.2834785,11,3
"92","Alaska","2015-05-10",3.027273,8,0.028417,37,6.8,0.262917,11,3
"93","Alaska","2015-05-11",4.270833,12,0.026833,35,7.2958335,0.265625,16,3
"94","Alaska","2015-05-12",4.245455,8,0.024625,32,7.325155,0.2841305,13,3
"95","Alaska","2015-05-13",3.986364,10,0.031125,41,7.09375,0.286875,13,3
"96","Alaska","2015-05-14",5.408333,19,0.0345,42,7.0833335,0.286875,11,3
"97","Alaska","2015-05-15",7.270833,18,0.03675,47,7.197205,0.2952175,11,3
"98","Alaska","2015-05-16",3.813636,14,0.035167,41,6.8229165,0.2754165,13,3
"99","Alaska","2015-05-17",6.166667,15,0.032958,40,7.95625,0.2891665,17,3
"100","Alaska","2015-05-18",7.3125,17,0.031833,43,7.4180125,0.2930435,17,3
"101","Alaska","2015-05-19",4.109091,10,0.031917,37,7.0833335,0.2706705,11,3
"102","Alaska","2015-05-20",7.573913,16,0.02975,42,7.2625,0.1997915,11,2
"103","Alaska","2015-05-21",5.333333,12,0.02825,38,7.4838505,0.205,11,2
